unique_carrier,total_gallons
09Q,1235210
0WQ,0
1BQ,60821
27Q,0
2HQ,410186
3EQ,0
5V,304851
5X,73210000
5Y,44410125
8C,765851
9E,0
9S,6850007
AA,286544730
ABX,229897
AS,57084165
B6,70408211
CP,0
DL,273706863
EV,0
F9,21842481
FX,102433846
G4,12784069
G7,0
GFQ,358893
GL,619859
HA,22626587
KAQ,5414448
KD,2765790
KH,432202
KLQ,192731
L2,199796
M6,1772892
MQ,0
N8,798009
NC,388494
NK,35862515
OH,0
OO,8150037
PFQ,330575
PO,17207874
QX,0
SY,
U7,507669
UA,270112946
WI,1329432
WL,47941
X9,4086224
XP,2501
YV,0
YX,20121
WN,164881708
